,dataset,file_name,width,height,mpp_x,mpp_y,width_microns,height_microns,manufacturer,magnification,tiff.XResolution,tiff.YResolution,resolution_mpp_x,resolution_mpp_y
301,tcga_luad,TCGA-97-A4M0-01Z-00-DX1.BDDFB04C-2475-485A-9A85-C4B9EB15155E.svs,109165,75006,0.2485,0.2485,27127.5025,18638.990999999998,aperio,40,,,,
302,tcga_luad,TCGA-49-4506-01Z-00-DX4.9460a2c1-efe2-4095-9b0e-dfe0eda684ba.svs,127579,76261,0.252,0.252,32149.908,19217.772,aperio,40,,,,
303,tcga_luad,TCGA-75-6212-01Z-00-DX1.FCB36956-DF6C-485D-8E7A-922A2BDAE669.svs,31982,33257,0.5005,0.5005,16006.990999999998,16645.1285,aperio,20,,,,
304,tcga_luad,TCGA-97-A4M5-01Z-00-DX1.283AFBA6-A349-425F-A18E-5CA186084C23.svs,111080,92849,0.2485,0.2485,27603.38,23072.9765,aperio,40,,,,
305,tcga_luad,TCGA-49-AAR4-01Z-00-DX1.EDB32358-AF23-4F81-A99F-15574A2DE28E.svs,79680,51516,0.2525,0.2525,20119.2,13007.79,aperio,40,,,,
306,tcga_luad,TCGA-55-8506-01Z-00-DX1.A908E3D2-91F7-4DE2-98C9-95D1038B9F49.svs,38369,39012,0.252,0.252,9668.988,9831.024,aperio,40,,,,
307,tcga_luad,TCGA-91-A4BD-01Z-00-DX1.2E575CAC-6AEB-4049-972A-EA43457A9C9D.svs,115192,54914,0.2468,0.2468,28429.385599999998,13552.7752,aperio,40,,,,
308,tcga_luad,TCGA-49-4512-01Z-00-DX1.ced0bda8-f2d6-4bcb-b2d6-b122846a3079.svs,107435,79902,0.252,0.252,27073.62,20135.304,aperio,40,,,,
309,tcga_luad,TCGA-44-3917-01Z-00-DX1.cf5b5b49-de5e-4f2e-90b4-b138f55560a9.svs,116068,22913,0.252,0.252,29249.136,5774.076,aperio,40,,,,
310,tcga_luad,TCGA-75-7027-01Z-00-DX1.AC91B34F-DF67-4F95-B145-079A71A54E83.svs,25985,28238,0.5005,0.5005,13005.492499999998,14133.118999999999,aperio,20,,,,
311,tcga_luad,TCGA-69-A59K-01Z-00-DX1.01EAF520-9AC1-4ECC-8EF3-B9122924A1E3.svs,89488,75737,0.2468,0.2468,22085.6384,18691.8916,aperio,40,,,,
312,tcga_luad,TCGA-05-5420-01Z-00-DX1.8C253A99-44FD-48B6-AF31-D808CCB7DB1E.svs,10000,8104,,,,,aperio,Unknown,,,,
313,tcga_luad,TCGA-49-AARQ-01Z-00-DX1.3FA36419-1658-4602-9170-84A622787C3E.svs,89640,77260,0.2525,0.2525,22634.1,19508.15,aperio,40,,,,
