wsi_id,mean_superpixel_area,magnification,mpp_x,mpp_y,norm_mpp_x,norm_mpp_y
C3N-02523-23,323087.15661147493,20.0,0.4942,0.4942,0.2471,0.2471
C3L-04858-27,634928.6749042658,20.0,0.5031,0.5031,0.25155,0.25155
C3N-01028-26,424199.2590150709,20.0,0.4942,0.4942,0.2471,0.2471
C3L-04912-28,467617.57727386965,20.0,0.5031,0.5031,0.25155,0.25155
C3L-04888-21,485559.15949802287,20.0,0.5031,0.5031,0.25155,0.25155
C3L-02627-25,415405.4272735533,20.0,0.4942,0.4942,0.2471,0.2471
C3L-05399-21,407029.9162034339,20.0,0.5031,0.5031,0.25155,0.25155
C3L-02649-22,450293.2648258961,20.0,0.4942,0.4942,0.2471,0.2471
C3L-04871-28,500130.6862349023,20.0,0.5031,0.5031,0.25155,0.25155
C3N-03486-23,442608.19295818114,20.0,0.4942,0.4942,0.2471,0.2471
C3L-02646-27,288906.51142800413,20.0,0.4942,0.4942,0.2471,0.2471
C3L-05422-22,411074.5806015528,20.0,0.5031,0.5031,0.25155,0.25155
C3L-05399-26,396988.4394714619,20.0,0.5031,0.5031,0.25155,0.25155
C3L-02625-24,397400.3232390206,20.0,0.4942,0.4942,0.2471,0.2471
C3N-05078-21,306284.33053791546,20.0,0.5031,0.5031,0.25155,0.25155
C3N-02285-23,321479.19580228097,20.0,0.4942,0.4942,0.2471,0.2471
C3L-02618-25,418615.90486847423,20.0,0.4942,0.4942,0.2471,0.2471
C3L-05212-24,453628.59962976293,20.0,0.5031,0.5031,0.25155,0.25155
C3L-02627-23,378206.83711098135,20.0,0.4942,0.4942,0.2471,0.2471
C3L-04367-27,393187.75911373534,20.0,0.4942,0.4942,0.2471,0.2471
C3L-03272-23,369441.29615910543,20.0,0.4942,0.4942,0.2471,0.2471
C3L-00993-22,389190.98804518115,20.0,0.4942,0.4942,0.2471,0.2471
C3L-05392-27,480574.07657171396,20.0,0.5031,0.5031,0.25155,0.25155
C3L-02625-28,261135.52431580334,20.0,0.4942,0.4942,0.2471,0.2471
C3L-05221-28,420201.45597348054,20.0,0.5031,0.5031,0.25155,0.25155
C3L-04889-28,604768.4973964819,20.0,0.5031,0.5031,0.25155,0.25155
C3L-00603-21,329881.05221316265,20.0,0.4942,0.4942,0.2471,0.2471
C3L-04872-25,442529.65419607994,20.0,0.5031,0.5031,0.25155,0.25155
C3L-05394-21,428050.17510742764,20.0,0.5031,0.5031,0.25155,0.25155
C3N-02575-23,392451.23418066424,20.0,0.4942,0.4942,0.2471,0.2471
C3L-05150-25,481543.9289170136,20.0,0.5031,0.5031,0.25155,0.25155
C3N-02425-21,475811.8043461078,20.0,0.4942,0.4942,0.2471,0.2471
C3L-04866-22,448701.0943901117,20.0,0.5031,0.5031,0.25155,0.25155
C3L-05395-25,496076.51760795136,20.0,0.5031,0.5031,0.25155,0.25155
C3L-04746-24,287355.8203448654,20.0,0.5031,0.5031,0.25155,0.25155
C3L-04921-23,430404.4917558073,20.0,0.5031,0.5031,0.25155,0.25155
C3L-04079-23,421344.03725579736,20.0,0.5031,0.5031,0.25155,0.25155
C3N-03877-23,185966.89831101592,20.0,0.4942,0.4942,0.2471,0.2471
C3L-05398-28,454020.35538263945,20.0,0.5031,0.5031,0.25155,0.25155
C3N-02425-22,350129.5300115426,20.0,0.4942,0.4942,0.2471,0.2471
C3L-03987-24,404549.2175638611,20.0,0.5031,0.5031,0.25155,0.25155
C3N-01846-21,354462.4020320393,20.0,0.4942,0.4942,0.2471,0.2471
C3N-04609-22,448672.9139603838,20.0,0.5031,0.5031,0.25155,0.25155
C3L-04863-28,474129.7355470499,20.0,0.5031,0.5031,0.25155,0.25155
C3L-02629-26,256159.18112532317,20.0,0.4942,0.4942,0.2471,0.2471
C3L-04378-27,194080.26708397391,20.0,0.5031,0.5031,0.25155,0.25155
C3L-05369-25,459102.2312986767,20.0,0.5031,0.5031,0.25155,0.25155
C3N-05079-28,485968.02776463365,20.0,0.5031,0.5031,0.25155,0.25155
C3N-01411-26,418986.53146578604,20.0,0.4942,0.4942,0.2471,0.2471
C3L-02963-22,403696.3357105267,20.0,0.4942,0.4942,0.2471,0.2471
C3L-05369-27,471167.9668098839,20.0,0.5031,0.5031,0.25155,0.25155
C3L-04402-26,272654.2579242401,20.0,0.5031,0.5031,0.25155,0.25155
C3N-03441-29,257225.27627893715,20.0,0.4942,0.4942,0.2471,0.2471
